149,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2057,SJK(C) PING MING,"78,JLN TUN SRI LANANG",MELAKA,75100,062822633,062822633
150,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2058,SJK(C) YOK BIN,121 JALAN KUBU MELAKA,MELAKA,75300,062822827,062817648
151,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2059,SJK(C) CHUNG KUO,310-C  JALAN TENGKERA,MELAKA,75200,062822744,062822744
152,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2060,SJK(C) BACHANG,JALAN DATUK WIRA POH AH TIAM,MELAKA,75250,063350216,063350216
153,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2061,SJK(C) KATHOLIK,"251, JLN GAJAH BERANG",MELAKA,75200,062822939,062822935
154,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2062,SJK(C) SIANG LIN,"67,JLN DURIAN DAUN,",MELAKA,75400,062825475,062825475
155,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2063,SJK(C) NOTRE DAME,263 JALAN GAJAH BERANG,MELAKA,75200,062843100,062882105
156,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2064,SJK(C) EK TE,"LEREH,TANJUNG KLING",MELAKA,76400,063151267,063151267
157,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2065,SJK(C) YING CHYE,Bukit Rambai,MELAKA,75250,063510630,063510630
158,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2066,SJK(C) YU YING,"JLN BKT GODEK, SEMABOK",MELAKA,75050,062832089,062832189
159,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2067,SJK(C) TING HWA,"JALAN PULAU GADONG,",MELAKA,75200,063351432,063351432
160,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2068,SJK(C) WEN HUA,"BATU BERENDAM,",MELAKA,75350,063172524,063177422
161,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2069,SJK(C) KEH SENG,"BUKIT BARU,",MELAKA,75150,062823522,062882163
162,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2070,SJK(C) POH LAN,"TANGGA BATU, TANJONG KLING",MELAKA,76400,063515736,063515736
163,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2071,SJK(C) LIH JEN,JALAN POKOK MANGGA,MELAKA,75200,063344748,063344748
164,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2072,SJK(C) KUANG YAH,TELOK MAS,MELAKA,75460,062616740,062616740
165,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2073,SJK(C) PAY HWA,PAYA RUMPUT,MELAKA,76450,063162704,063162705
166,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2074,SJK(C) ST MARY,AIR SALAK,MELAKA,75250,063516586,063516586
167,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2075,SJK(C) BUKIT BERUANG,BUKIT BERUANG,MELAKA,75450,06-2324512,062324512
168,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2076,SJK(C) CHENG,"JALAN CHENG, CHENG",MELAKA,75250,063358714,063357437
