BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
204,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3005,SK PUSAT KUALA IBAI,"JALAN SULTAN MAHMUD,","KUALA TERENGGANU",20400,0096172050,0096170942
205,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3007,SK LADANG,JALAN SULTAN ZAINAL ABIDIN,"KUALA TERENGGANU",20000,0096221716,0096226269
206,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3008,SK GONG KAPAS,JALAN SULTAN MOHAMAD,"KUALA TERENGGANU",21100,096221529,096252529
207,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3009,SK PASIR PANJANG,JALAN PASIR PANJANG,"KUALA TERENGGANU",21100,096221244,096261986
208,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3010,SK DUYONG,JALAN TENGKU MIZAN,"KUALA TERENGGANU",21300,096233157,096233157
209,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3011,SK CHENDERING,JALAN SEKOLAH CHENDERING,"KUALA TERENGGANU",21080,096171127,096172127
210,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3014,SK GONG TOK NASEK,JALAN PANJI ALAM,"KUALA TERENGGANU",21100,096226160,096230834
211,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3015,SK SERI NILAM,"CHABANG TIGA,","KUALA TERENGGANU",21000,096223835,096221835
212,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3016,SK PULAU RUSA,"JALAN KELANTAN, KG.PULAU RUSA","KUALA TERENGGANU",20050,096222250,096222050
213,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3017,SK LOSONG,"CHABANG TIGA, KUALA TRENGGANU","KUALA TERENGGANU",21000,096223040,096267758
214,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3018,SK PUSAT CHABANG TIGA,JALAN DURIAN BURONG,"KUALA TERENGGANU",21000,096221640,096221640
